Time_SRS,PF_SRS,Frame_MoCap,AnklePlantarflexion_MoCap
0,484.2,0,-4.878921
0.030030012,483.7,1,-4.885769
0.059955001,483.8,2,-4.892129
0.120597959,483.6,3,-4.901352
0.150951982,483.8,4,-4.914493
0.180107951,483.7,5,-4.929247
0.240313053,483.7,6,-4.941352
0.269701004,483.9,7,-4.947163
0.300153971,483.7,8,-4.946065
0.360286951,483.4,9,-4.941087
0.389961004,483.5,10,-4.937092
0.42001605,483.8,11,-4.937968
0.480214953,483.2,12,-4.944845
0.509752035,483,13,-4.956122
0.539584994,484.1,14,-4.968631
0.599938035,483.4,15,-4.978856
0.630398035,483.6,16,-4.983863
0.659472942,483.9,17,-4.982389
0.720185041,483.9,18,-4.975892
0.750390053,483.6,19,-4.968332
0.780365944,483.5,20,-4.964052
0.839871049,483.8,21,-4.965301
0.870319009,483.3,22,-4.971382
0.900280952,483.6,23,-4.979544
0.960147977,483.7,24,-4.986205
0.99022305,483.4,25,-4.987834
1.020017982,483.4,26,-4.982141
1.080435991,483.8,27,-4.96962
1.109532952,483.5,28,-4.953885
1.139603972,483.5,29,-4.939752
1.200019956,484.2,30,-4.930587
1.230002999,483.2,31,-4.927273
1.259997964,485.4,32,-4.929014
1.320695996,503.4,33,-4.934221
1.350460052,526.1,34,-4.940382
1.380136967,539.2,35,-4.943826
1.439954042,560.5,36,-4.940903
1.470103979,584.9,37,-4.930471
1.500216961,607.5,38,-4.915278
1.560264945,632.8,39,-4.900055
1.590126991,656.2,40,-4.88777
1.619843006,676.8,41,-4.878002
1.679955959,696,42,-4.868951
1.709336042,709.7,43,-4.860276
1.739474058,720.4,44,-4.853427
1.79983902,727.1,45,-4.849638
1.830135942,730.1,46,-4.848219
1.859974027,733.5,47,-4.847005
1.919939041,734.2,48,-4.844525
1.950867057,734.6,49,-4.841932
1.980342984,734.5,50,-4.842857
2.04024303,730.2,51,-4.851043
2.070355058,720.1,52,-4.867685
2.100721955,687.7,53,-4.890723
2.160038948,641.3,54,-4.916561
2.190068007,608.8,55,-4.942735
2.220077038,576.6,56,-4.969659
2.280114055,546.3,57,-5.00075
2.309864998,528,58,-5.041755
2.33970201,513.3,59,-5.101085
2.400323987,503.9,60,-5.192785
2.430026054,498.6,61,-5.342091
2.459975004,496.1,62,-5.590346
2.520277023,494,63,-5.993863
2.550688982,493.5,64,-6.612979
2.580006003,491.8,65,-7.493905
2.640125036,491,66,-8.651859
2.670050025,491.1,67,-10.06392
2.700129986,490.7,68,-11.674046
2.760256052,490.5,69,-13.40542
2.79004097,492.4,70,-15.172631
2.819915056,502.4,71,-16.890426
2.880244017,525.5,72,-18.481764
2.909894943,552,73,-19.888699
2.939632058,560.6,74,-21.085558
3.000201941,577.1,75,-22.089069
3.030172944,601.3,76,-22.957687
3.059661984,622.3,77,-23.775799
3.120617032,644.6,78,-24.627647
3.150200963,665.4,79,-25.573497
3.18007803,681,80,-26.638881
3.24032402,695.1,81,-27.818034
3.269747019,705.8,82,-29.084493
3.300361991,713.1,83,-30.401449
3.359966993,717.1,84,-31.729083
3.390318036,720.2,85,-33.031046
3.420032024,720.9,86,-34.283516
3.480203032,719.3,87,-35.48494
3.509803057,715.3,88,-36.657737
3.539666057,700.3,89,-37.835958
3.600218058,671.1,90,-39.045982
3.630105019,626.2,91,-40.295674
3.659970045,591.8,92,-41.578861
3.720317006,565.2,93,-42.886033
3.750911951,540.4,94,-44.208478
3.780096054,525.9,95,-45.534316
3.84028399,513.4,96,-46.845903
3.86974597,504.6,97,-48.126702
3.900598049,500,98,-49.373673
3.960255027,496.7,99,-50.601233
3.990062952,495.6,100,-51.829331
4.020035982,494.3,101,-53.066338
4.080222011,493.5,102,-54.303967
4.109881043,492.6,103,-55.527078
4.139991999,492.2,104,-56.725536
4.200217962,491.2,105,-57.896244
4.230362058,491.6,106,-59.035524
4.259883046,491.6,107,-60.130673
4.320695043,495.2,108,-61.159976
4.350654006,500.6,109,-62.104509
4.379950047,513.4,110,-62.964279
4.440302968,541.5,111,-63.763628
4.470144987,558.8,112,-64.537615
4.500365973,577.7,113,-65.309129
4.559941053,606.5,114,-66.075189
4.590342999,626.6,115,-66.809932
4.620028973,644,116,-67.477625
4.680302024,664.4,117,-68.047797
4.709519029,682,118,-68.50864
4.739639997,695.3,119,-68.87428
4.800251961,702.7,120,-69.181345
4.830075026,708.4,121,-69.475282
4.859913945,712,122,-69.791843
4.920214057,715,123,-70.141334
4.950921059,716.8,124,-70.503868
4.980142951,717.4,125,-70.840436
5.04033196,711.6,126,-71.11549
5.070040941,692.8,127,-71.318551
5.10019505,644.7,128,-71.471775
5.160244942,605.8,129,-71.618406
5.190011978,576.1,130,-71.79827
5.220056057,551.8,131,-72.024379
5.280274034,538.3,132,-72.27525
5.309561968,524.4,133,-72.508597
5.339633942,515.3,134,-72.685989
5.399979949,508.4,135,-72.788743
5.430570006,503,136,-72.81513
5.459872961,499.9,137,-72.767554
5.520619035,497.5,138,-72.644139
5.550868988,496.3,139,-72.439239
5.579947948,495,140,-72.14796
5.639868021,494.1,141,-71.768909
5.670317054,493.7,142,-71.3015
5.700623989,493.2,143,-70.736247
5.759749055,492.9,144,-70.041159
5.790333033,492.4,145,-69.152993
5.820078969,492.5,146,-67.984268
5.880249023,491.8,147,-66.452144
